The American President,1995,PG-13,17 Nov 1995,114 min,"Comedy, Drama, Romance",Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","English, French, Spanish",United States,Nominated for 1 Oscar. 1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg
Dracula: Dead and Loving It,1995,PG-13,22 Dec 1995,88 min,"Comedy, Fantasy, Horror",Mel Brooks,"Mel Brooks, Rudy De Luca, Steve Haberman","Leslie Nielsen, Mel Brooks, Peter MacNicol",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"English, German","France, United States",N/A,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg
Balto,1995,G,22 Dec 1995,78 min,"Animation, Adventure, Drama",Simon Wells,"Cliff Ruby, Elana Lesser, David Steven Cohen","Kevin Bacon, Bob Hoskins, Bridget Fonda","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",English,"United States, United Kingdom",5 nominations,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
Nixon,1995,R,05 Jan 1996,192 min,"Biography, Drama, History",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","Anthony Hopkins, Joan Allen, Powers Boothe","A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","English, Mandarin, Russian",United States,Nominated for 4 Oscars. 11 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Cutthroat Island,1995,PG-13,22 Dec 1995,124 min,"Action, Adventure, Comedy",Renny Harlin,"Michael Frost Beckner, James Gorman, Bruce A. Evans","Geena Davis, Matthew Modine, Frank Langella",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"English, Spanish, Latin, French","United States, Italy, Germany, France",1 nomination,https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
Casino,1995,R,22 Nov 1995,178 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci","In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.",English,"United States, France",Nominated for 1 Oscar. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
Sense and Sensibility,1995,PG,26 Jan 1996,136 min,"Drama, Romance",Ang Lee,"Jane Austen, Emma Thompson","Emma Thompson, Kate Winslet, James Fleet","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.","English, French","United States, United Kingdom",Won 1 Oscar. 33 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg
Four Rooms,1995,R,25 Dec 1995,98 min,Comedy,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Allison Anders, Alexandre Rockwell, Robert Rodriguez","Tim Roth, Antonio Banderas, Sammi Davis",Four interlocking tales that take place in a fading hotel on New Year's Eve.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Ace Ventura: When Nature Calls,1995,PG-13,10 Nov 1995,90 min,"Adventure, Comedy, Crime",Steve Oedekerk,"Jack Bernstein, Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",English,United States,7 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Money Train,1995,R,22 Nov 1995,110 min,"Action, Comedy, Crime",Joseph Ruben,"Doug Richardson, David Loughery","Wesley Snipes, Woody Harrelson, Jennifer Lopez","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNjc3YjQwNGEtODI4Ny00MzgyLWEyMWYtNzMyMjk0MmI4YjY1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Get Shorty,1995,R,20 Oct 1995,105 min,"Comedy, Crime, Thriller",Barry Sonnenfeld,"Elmore Leonard, Scott Frank","Gene Hackman, Rene Russo, Danny DeVito","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",English,United States,6 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg
Copycat,1995,R,27 Oct 1995,123 min,"Drama, Mystery, Thriller",Jon Amiel,"Ann Biderman, David Madsen","Sigourney Weaver, Holly Hunter, Dermot Mulroney",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg
Assassins,1995,R,06 Oct 1995,133 min,"Action, Crime, Thriller",Richard Donner,"Lilly Wachowski, Lana Wachowski, Brian Helgeland","Sylvester Stallone, Antonio Banderas, Julianne Moore",Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"English, Dutch, Spanish","France, United States",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZWY5MGQ1NTQtNzkzNy00YTRkLTk2MjQtZTliNTJiNWZhMzk2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Powder,1995,PG-13,27 Oct 1995,111 min,"Drama, Fantasy, Mystery",Victor Salva,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
Leaving Las Vegas,1995,R,09 Feb 1996,111 min,"Drama, Romance",Mike Figgis,"John O'Brien, Mike Figgis","Nicolas Cage, Elisabeth Shue, Julian Sands","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","English, Russian",United States,Won 1 Oscar. 32 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg
Othello,1995,R,19 Jan 1996,123 min,"Drama, Romance",Oliver Parker,"Oliver Parker, William Shakespeare","Laurence Fishburne, Kenneth Branagh, Irène Jacob","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",English,"United States, United Kingdom",3 nominations,https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Now and Then,1995,PG-13,20 Oct 1995,102 min,"Comedy, Drama, Romance",Lesli Linka Glatter,I. Marlene King,"Christina Ricci, Demi Moore, Rosie O'Donnell",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg
Persuasion,1995,PG,27 Sep 1995,107 min,"Drama, Romance",Roger Michell,"Jane Austen (novel), Nick Dear (screenplay)","Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave","Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",English,"UK, USA, France",7 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg
The City of Lost Children,1995,R,15 Dec 1995,112 min,"Drama, Fantasy, Sci-Fi","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro","Ron Perlman, Daniel Emilfork, Judith Vittet","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","French, Cantonese","France, Germany, Spain, Belgium, United States",5 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BYjBlOGFhODEtZThmMS00OTgwLTk0MjAtNDgxNWFhY2JhYTE1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Shanghai Triad,1995,R,22 Dec 1995,108 min,"Crime, Drama, History",Yimou Zhang,"Feiyu Bi, Li Xiao","Gong Li, Baotian Li, Xiaoxiao Wang",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Mandarin,"France, China",Nominated for 1 Oscar. 5 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BODgzNGQyNjEtYTU0My00ZGY2LTg4Y2MtMWNiY2QyZGE1MGRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Dangerous Minds,1995,R,11 Aug 1995,99 min,"Biography, Drama",John N. Smith,"LouAnne Johnson, Ron Bass","Michelle Pfeiffer, George Dzundza, Courtney B. Vance",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,English,United States,6 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
12 Monkeys,1995,R,05 Jan 1996,129 min,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Chris Marker, David Webb Peoples, Janet Peoples","Bruce Willis, Madeleine Stowe, Brad Pitt","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","English, French, Latin, Spanish",United States,Nominated for 2 Oscars. 11 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Babe,1995,G,04 Aug 1995,91 min,"Comedy, Drama, Family",Chris Noonan,"Dick King-Smith, George Miller, Chris Noonan","James Cromwell, Magda Szubanski, Christine Cavanaugh","Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.",English,"Australia, United States, United Kingdom",Won 1 Oscar. 20 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
Dead Man Walking,1995,R,02 Feb 1996,122 min,"Crime, Drama",Tim Robbins,"Helen Prejean, Tim Robbins","Susan Sarandon, Sean Penn, Robert Prosky","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",English,"United Kingdom, United States",Won 1 Oscar. 23 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg
It Takes Two,1995,PG,17 Nov 1995,101 min,"Comedy, Family, Romance",Andy Tennant,Deborah Dean Davis,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg
Clueless,1995,PG-13,19 Jul 1995,97 min,"Comedy, Romance",Amy Heckerling,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","English, Spanish",United States,6 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg
"Cry, the Beloved Country",1995,PG-13,15 Dec 1995,106 min,"Drama, Thriller",Darrell Roodt,"Ronald Harwood, Alan Paton","Richard Harris, James Earl Jones, Vusi Kunene","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",English,"South Africa, United States",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg
Richard III,1995,R,29 Dec 1995,110 min,"Drama, Sci-Fi, War",Richard Loncraine,"Ian McKellen, Richard Loncraine, Richard Eyre","Ian McKellen, Annette Bening, Christopher Bowen",The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,English,"United Kingdom, United States",Nominated for 2 Oscars. 7 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Dead Presidents,1995,R,06 Oct 1995,119 min,"Action, Crime, Drama","Albert Hughes, Allen Hughes","Allen Hughes, Albert Hughes, Michael Henry Brown","Larenz Tate, Keith David, Chris Tucker","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Restoration,1995,R,02 Feb 1996,117 min,"Biography, Drama, History",Michael Hoffman,"Rose Tremain, Rupert Walters","Robert Downey Jr., Sam Neill, David Thewlis","The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","English, Latin","United States, United Kingdom",Won 2 Oscars. 2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Mortal Kombat,1995,PG-13,18 Aug 1995,101 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Ed Boon, John Tobias, Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_SX300.jpg
To Die For,1995,R,06 Oct 1995,106 min,"Comedy, Crime, Drama",Gus Van Sant,"Joyce Maynard, Buck Henry","Nicole Kidman, Matt Dillon, Joaquin Phoenix",A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,English,"United States, United Kingdom, Canada",Nominated for 1 BAFTA Award7 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BOGQ2ZjIyMGItZDMzZi00ZThkLTlkM2MtNDRhMTNiNWFlMzVlXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
How to Make an American Quilt,1995,PG-13,06 Oct 1995,117 min,"Comedy, Drama, Romance",Jocelyn Moorhouse,"Whitney Otto, Jane Anderson","Winona Ryder, Ellen Burstyn, Anne Bancroft",Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg
Se7en,1995,R,22 Sep 1995,127 min,"Crime, Drama, Mystery",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",English,United States,Nominated for 1 Oscar. 29 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Pocahontas,1995,G,23 Jun 1995,81 min,"Animation, Adventure, Drama","Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik","Mel Gibson, Linda Hunt, Christian Bale",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"English, Algonquin","United States, Japan",Won 2 Oscars. 15 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
When Night Is Falling,1995,Unrated,17 Nov 1995,94 min,"Drama, Romance",Patricia Rozema,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",English,Canada,5 nominations,https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
The Usual Suspects,1995,R,16 Aug 1995,106 min,"Crime, Drama, Mystery",Bryan Singer,Christopher McQuarrie,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"English, Hungarian, Spanish, French","United States, Germany",Won 2 Oscars. 37 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
Mighty Aphrodite,1995,R,10 Nov 1995,95 min,"Comedy, Fantasy, Romance",Woody Allen,Woody Allen,"Woody Allen, Mira Sorvino, Pamela Blair","When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","English, Latin",United States,Won 1 Oscar. 12 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTZmNjJmODktMTI1Ni00OWU5LWI0YTctNjc0MzVkNDE3M2Y0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Lamerica,1994,N/A,04 Oct 1995,116 min,"Comedy, Drama",Gianni Amelio,"Gianni Amelio, Andrea Porporati, Alessandro Sermoneta","Enrico Lo Verso, Michele Placido, Piro Milkani","Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...","Albanian, Italian","Italy, France, Switzerland, Austria",21 wins & 18 nominations,https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg
The Big Green,1995,PG,29 Sep 1995,100 min,"Comedy, Family, Sport",Holly Goldberg Sloan,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders","A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
Georgia,1995,R,08 Dec 1995,115 min,"Drama, Music",Ulu Grosbard,Barbara Turner,"Jennifer Jason Leigh, Mare Winningham, Ted Levine",Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,"English, Hebrew","France, United States",Nominated for 1 Oscar. 4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
